Linux 5.4.0-77-generic (ubuntu-dev-01) 	08/15/2021 	_x86_64_	(1 CPU)

02:06:09 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:17:50 AM     all      0.00      0.00      0.61      0.00      0.00     99.39
02:17:55 AM     all      0.00      0.00      1.02      0.00      0.00     98.98
02:18:00 AM     all      0.20      0.00      0.61      0.00      0.00     99.19
02:18:05 AM     all      0.20      0.00      0.81      0.00      0.00     98.99
02:18:10 AM     all      0.00      0.00      0.41      0.00      0.00     99.59
02:18:15 AM     all      0.00      0.00      0.40      0.20      0.00     99.39
02:18:20 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:18:25 AM     all      0.00      0.00      0.81      0.00      0.00     99.19
02:18:30 AM     all      0.00      0.00      0.41      0.00      0.00     99.59
02:18:35 AM     all      0.00      0.00      0.41      0.00      0.00     99.59
02:18:40 AM     all      0.20      0.00      0.41      0.00      0.00     99.39
02:18:45 AM     all      0.20      0.00      0.20      0.00      0.00     99.59
02:18:50 AM     all      0.20      0.00      1.22      0.00      0.00     98.57
02:18:55 AM     all      0.00      0.00      1.65      0.00      0.00     98.35
02:19:00 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:19:05 AM     all      0.21      0.00      1.03      0.00      0.00     98.76
02:19:10 AM     all      0.00      0.00      1.87      0.21      0.00     97.93
02:19:15 AM     all      0.21      0.00      1.65      0.00      0.00     98.15
02:19:20 AM     all      6.57      0.00      3.49      0.00      0.00     89.94
02:19:25 AM     all     58.23      0.00     37.75      2.61      0.00      1.41
02:19:30 AM     all     68.74      0.00     30.66      0.60      0.00      0.00
02:19:35 AM     all     18.04      0.00     81.56      0.40      0.00      0.00
02:19:40 AM     all     16.10      0.00     83.30      0.60      0.00      0.00
02:19:45 AM     all     40.60      0.00     53.80      5.40      0.00      0.20
02:19:50 AM     all     61.57      0.00     35.41      1.41      0.00      1.61
02:19:55 AM     all     52.52      0.00     45.07      1.41      0.00      1.01
02:20:00 AM     all     55.71      0.00     42.89      1.40      0.00      0.00
02:20:05 AM     all     40.08      0.00     58.92      1.00      0.00      0.00
02:20:10 AM     all     44.40      0.00     55.40      0.20      0.00      0.00
02:20:15 AM     all     85.17      0.00     14.83      0.00      0.00      0.00
02:20:20 AM     all     30.85     13.10     23.59      0.81      0.00     31.65
02:20:25 AM     all      0.20      0.00      0.40      0.00      0.00     99.40
02:20:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:35 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:20:40 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:20:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:20:50 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:20:55 AM     all      0.00      0.00      0.81      0.00      0.00     99.19
02:21:00 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:21:05 AM     all      0.00      0.00      0.40      0.40      0.00     99.19
02:21:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:25 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:21:30 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:21:35 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:21:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:21:45 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:21:50 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:21:55 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:22:00 AM     all      0.40      0.00      0.20      0.00      0.00     99.40
02:22:05 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:22:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:22:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:22:20 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:22:25 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:22:30 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:22:35 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:22:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:22:45 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:22:50 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:22:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:23:00 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:23:05 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:23:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:23:15 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:23:20 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:23:25 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:23:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:23:35 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:23:40 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:23:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:23:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:23:55 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:24:00 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:24:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:24:10 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:24:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:24:20 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:24:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:24:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:24:35 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:24:40 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:24:45 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:24:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
